catalog,schema,table_name,table_type,format,created_at,last_modified,owner,comment
dev,bronze_bulletin,_file_list,MANAGED,DELTA,2026-06-04 20:21:03.914,2026-06-17 16:16:12.944,e8c7099f-bfb8-4950-bd6a-6810ec5c9aaf,
dev,bronze_bulletin,bulletin_chart_raw,MANAGED,DELTA,2026-06-08 19:34:27.607,2026-06-17 16:31:16.771,e8c7099f-bfb8-4950-bd6a-6810ec5c9aaf,
dev,bronze_bulletin,visa_bulletin,MANAGED,DELTA,2026-06-04 20:22:39.887,2026-06-17 16:17:43.893,e8c7099f-bfb8-4950-bd6a-6810ec5c9aaf,
dev,bronze_checkmarket,case_email_mapping,MANAGED,DELTA,2026-04-27 15:57:02.936,2026-04-27 15:57:02.936,kchinthala@bal.com,
dev,bronze_checkmarket,companies_with_survey,MANAGED,DELTA,2026-04-27 15:57:33.153,2026-04-27 15:57:33.153,kchinthala@bal.com,
dev,bronze_checkmarket,d_survey_configuration,MANAGED,DELTA,2026-04-27 15:57:55.785,2026-04-27 15:57:55.785,kchinthala@bal.com,
dev,bronze_checkmarket,filtered_cases,MANAGED,DELTA,2026-04-22 19:32:20.225,2026-04-22 19:32:20.225,kchinthala@bal.com,
dev,bronze_checkmarket,src_bal_to_checkmarket,MANAGED,DELTA,2026-04-27 15:58:25.919,2026-04-27 15:58:25.919,kchinthala@bal.com,
dev,bronze_checkmarket,src_checkmarket_raw,MANAGED,DELTA,2026-04-27 15:58:40.467,2026-04-27 15:58:40.467,kchinthala@bal.com,
dev,bronze_checkmarket,src_checkmarket_to_bal,MANAGED,DELTA,2026-04-22 19:32:14.145,2026-04-22 19:32:14.145,kchinthala@bal.com,
dev,bronze_checkmarket,src_checkmarket_to_bal_staging_received,MANAGED,DELTA,2026-04-27 15:59:05.638,2026-04-27 15:59:05.638,kchinthala@bal.com,
dev,bronze_checkmarket,src_hr_nps_raw,MANAGED,DELTA,2026-04-17 15:50:04.871,2026-04-17 15:50:06.080,e8c7099f-bfb8-4950-bd6a-6810ec5c9aaf,
dev,bronze_checkmarket,src_hr_nps_to_bal,MANAGED,DELTA,2026-04-17 15:50:10.546,2026-04-17 15:50:11.211,e8c7099f-bfb8-4950-bd6a-6810ec5c9aaf,
dev,bronze_checkmarket,stgcompanieswithsurvey,MANAGED,DELTA,2026-04-27 15:59:21.329,2026-04-27 15:59:21.329,kchinthala@bal.com,
dev,bronze_checkmarket,survey_configuration,MANAGED,DELTA,2026-04-27 15:59:58.014,2026-04-27 15:59:58.014,kchinthala@bal.com,
dev,bronze_data_products,_fpv_extraction_checkpoint,MANAGED,DELTA,2026-06-10 23:56:04.050,2026-06-10 23:56:04.050,dwidmark@bal.com,
dev,bronze_data_products,_fpv_parsed_notices_checkpoint,MANAGED,DELTA,2026-06-10 22:23:56.799,2026-06-11 03:05:30.709,dwidmark@bal.com,
dev,bronze_data_products,_fpv_validator_v0_parsed_pkgs,MANAGED,DELTA,2026-06-14 03:34:53.558,2026-06-14 03:34:53.558,nan.kishore@bal.com,
dev,bronze_data_products,aidi_eval_classifications,MANAGED,DELTA,2026-04-10 19:10:29.261,2026-04-23 14:47:07.173,nan.kishore@bal.com,
dev,bronze_data_products,aidi_eval_scores,MANAGED,DELTA,2026-04-10 19:10:14.967,2026-04-23 14:47:00.311,nan.kishore@bal.com,
dev,bronze_data_products,aidi_kb_mcp_server_otel_annotations,MANAGED,DELTA,2026-04-29 21:07:21.150,2026-04-29 21:07:21.150,tfitzgibbons@bal.com,
dev,bronze_data_products,aidi_kb_mcp_server_otel_logs,MANAGED,DELTA,2026-04-29 21:07:22.438,2026-04-29 21:07:27.779,tfitzgibbons@bal.com,
dev,bronze_data_products,aidi_kb_mcp_server_otel_metrics,MANAGED,DELTA,2026-04-29 21:07:23.594,2026-07-21 12:23:36.213,tfitzgibbons@bal.com,
dev,bronze_data_products,aidi_kb_mcp_server_otel_spans,MANAGED,DELTA,2026-04-29 21:07:24.871,2026-04-29 21:07:28.219,tfitzgibbons@bal.com,
dev,bronze_data_products,aidi_mlflow_assessment_eval,MANAGED,DELTA,2026-02-23 03:25:39.232,2026-02-23 04:37:03.126,scharanmangavalli@bal.com,
dev,bronze_data_products,aidi_otel_logs,MANAGED,DELTA,2026-02-23 20:13:29.885,2026-02-23 20:19:03.954,kchinthala@bal.com,
dev,bronze_data_products,aidi_otel_metrics,MANAGED,DELTA,2026-02-23 20:13:34.228,2026-02-23 20:19:21.477,kchinthala@bal.com,
dev,bronze_data_products,aidi_otel_spans,MANAGED,DELTA,2026-02-23 20:13:40.120,2026-05-19 20:47:50.044,kchinthala@bal.com,
dev,bronze_data_products,aidi_trace_browser,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2026-06-26 21:06:48.270,2026-06-26 21:06:48.270,dwidmark@bal.com,
dev,bronze_data_products,aidi_trace_messages,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2026-06-26 18:55:47.763,2026-06-26 18:55:47.763,dwidmark@bal.com,
dev,bronze_data_products,aidi_trace_story,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2026-06-27 00:56:23.707,2026-06-27 00:56:23.707,dwidmark@bal.com,
dev,bronze_data_products,amasess_source,MANAGED,DELTA,2025-12-24 21:02:30.634,2025-12-24 21:02:30.634,dwidmark@bal.com,
dev,bronze_data_products,api_error_logs_backup_tmp,MANAGED,DELTA,2026-05-21 21:34:49.099,2026-05-21 21:34:49.613,sarogers@bal.com,
dev,bronze_data_products,api_error_samples,MANAGED,DELTA,2026-04-24 00:17:44.286,2026-06-03 01:17:25.468,dwidmark@bal.com,
dev,bronze_data_products,api_log_google_payloads,MANAGED,DELTA,2026-04-20 22:24:30.109,2026-04-20 22:29:07.100,dwidmark@bal.com,
dev,bronze_data_products,api_log_test,MANAGED,DELTA,2026-04-15 22:06:40.465,2026-06-24 09:21:31.203,dwidmark@bal.com,
dev,bronze_data_products,azure_i797_labels,MANAGED,DELTA,2025-01-10 17:51:34.971,2025-01-10 17:51:34.971,ddcruz@bal.com,
dev,bronze_data_products,azure_i797_labels_2,MANAGED,DELTA,2025-01-10 17:51:38.144,2025-06-19 19:42:32.411,ddcruz@bal.com,"The table contains information related to various documents and their associated forms. It includes details such as document identifiers, page numbers, form types, layout variations, and notice and case types. This data can be used for analyzing document processing workflows, understanding form usage patterns, and improving document management systems."
dev,bronze_data_products,azure_training_labels,MANAGED,DELTA,2025-01-10 17:49:42.474,2025-01-10 17:49:42.474,ddcruz@bal.com,
dev,bronze_data_products,bfx_doclet_facts,MANAGED,DELTA,2026-08-25 10:53:59.159,2026-08-25 17:24:32.600,lklinzing@bal.com,
dev,bronze_data_products,bfx_doclets,MANAGED,DELTA,2026-08-25 10:45:15.979,2026-08-25 18:14:45.484,lklinzing@bal.com,
dev,bronze_data_products,bfx_files,MANAGED,DELTA,2026-08-22 16:13:25.450,2026-08-25 16:29:00.972,lklinzing@bal.com,
dev,bronze_data_products,bfx_gold_dataset,MANAGED,DELTA,2026-08-06 13:56:21.894,2026-08-20 22:25:00.234,lklinzing@bal.com,
dev,bronze_data_products,bfx_gold_doclet_facts,MANAGED,DELTA,2026-08-17 22:26:46.926,2026-08-22 14:55:47.090,lklinzing@bal.com,
dev,bronze_data_products,bfx_gold_doclets,MANAGED,DELTA,2026-08-14 17:28:08.190,2026-08-18 14:48:08.016,lklinzing@bal.com,
dev,bronze_data_products,bfx_gold_pages,MANAGED,DELTA,2026-08-14 16:04:55.486,2026-08-21 16:58:04.016,lklinzing@bal.com,
dev,bronze_data_products,bfx_gold_pages_clean,MANAGED,DELTA,2026-08-20 23:43:45.905,2026-08-20 23:43:46.636,lklinzing@bal.com,
dev,bronze_data_products,bfx_gold_pages_cobalt,MANAGED,DELTA,2026-08-21 17:02:58.175,2026-08-21 17:02:58.892,lklinzing@bal.com,
dev,bronze_data_products,bfx_gold_pages_cobalt_review,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2026-08-22 12:21:20.137,2026-08-22 12:21:20.137,lklinzing@bal.com,
dev,bronze_data_products,bfx_manifest,MANAGED,DELTA,2026-08-22 13:48:40.237,2026-08-26 16:10:55.042,lklinzing@bal.com,
dev,bronze_data_products,bfx_manifest_doc_inferred,MANAGED,DELTA,2026-08-22 14:58:17.023,2026-08-26 16:10:50.742,lklinzing@bal.com,
dev,bronze_data_products,bfx_pages,MANAGED,DELTA,2026-08-22 16:23:41.447,2026-08-26 16:07:12.352,lklinzing@bal.com,
dev,bronze_data_products,cf_sim_lookback,MANAGED,DELTA,2026-06-24 23:58:44.461,2026-06-25 00:03:26.516,dwidmark@bal.com,
dev,bronze_data_products,cf_sim_sample,MANAGED,DELTA,2026-06-24 23:58:32.934,2026-06-25 00:03:18.996,dwidmark@bal.com,
dev,bronze_data_products,cf_sim_visible_docs,MANAGED,DELTA,2026-06-25 00:00:09.828,2026-06-25 00:05:06.495,dwidmark@bal.com,
dev,bronze_data_products,checkmarket_comment_ai_test,MANAGED,DELTA,2025-06-19 23:05:49.363,2025-06-19 23:27:38.887,dwidmark@bal.com,
dev,bronze_data_products,checkmarket_comments,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2025-06-19 22:45:16.465,2025-06-19 22:45:16.465,dwidmark@bal.com,
dev,bronze_data_products,cobalt_doclet_task_stats_temp_20260716,MANAGED,DELTA,2026-07-16 22:02:21.440,2026-07-16 22:02:22.353,dwidmark@bal.com,
dev,bronze_data_products,cobalt_s3,MANAGED,DELTA,2025-02-12 17:34:03.765,2025-02-12 17:34:03.765,dwidmark@bal.com,
dev,bronze_data_products,cobalt_sample_sets,MANAGED,DELTA,2025-01-10 17:49:46.319,2025-01-10 17:49:46.319,ddcruz@bal.com,
dev,bronze_data_products,conversation_tagging_test_set,MANAGED,DELTA,2025-03-25 00:18:15.659,2025-03-25 00:18:16.757,cameron.avelis@bal.com,
dev,bronze_data_products,conversation_tags,MANAGED,DELTA,2025-03-19 14:53:33.318,2025-06-19 23:06:02.237,ecb25de8-3a8e-4a52-a42e-93c886818847,
dev,bronze_data_products,conversation_tags_2,MANAGED,DELTA,2025-03-20 22:54:58.026,2025-03-20 22:54:58.905,msantacroce@bal.com,
dev,bronze_data_products,conversation_tags_3,MANAGED,DELTA,2025-03-20 03:37:13.260,2025-03-20 03:37:14.160,ecb25de8-3a8e-4a52-a42e-93c886818847,
dev,bronze_data_products,conversation_tags_3_with_tags,MANAGED,DELTA,2025-03-20 05:41:51.424,2025-03-20 05:41:52.283,msantacroce@bal.com,
dev,bronze_data_products,conversation_tags_4,MANAGED,DELTA,2025-03-20 05:54:13.709,2025-03-20 05:54:14.455,msantacroce@bal.com,
dev,bronze_data_products,conversation_tags_no_ai,MANAGED,DELTA,2025-03-14 19:38:41.838,2025-03-14 19:40:54.774,cameron.avelis@bal.com,
dev,bronze_data_products,conversation_tags_prompt_v2_conversation_summaries,MANAGED,DELTA,2025-03-21 05:13:37.568,2025-03-21 17:02:29.342,msantacroce@bal.com,
dev,bronze_data_products,conversation_tags_prompt_v2_conversation_summaries_1000,MANAGED,DELTA,2025-03-21 14:41:27.625,2025-03-21 14:41:28.605,msantacroce@bal.com,
dev,bronze_data_products,conversation_tags_prompt_v2_conversation_summaries_10000,MANAGED,DELTA,2025-03-21 14:59:14.172,2025-03-21 14:59:15.043,msantacroce@bal.com,
dev,bronze_data_products,conversation_tags_prompt_v2_full_conversations,MANAGED,DELTA,2025-03-21 09:42:35.977,2025-03-21 09:42:36.848,ecb25de8-3a8e-4a52-a42e-93c886818847,
dev,bronze_data_products,conversations_cleaned,MANAGED,DELTA,2025-03-05 22:15:39.333,2026-04-14 21:33:44.277,cameron.avelis@bal.com,
dev,bronze_data_products,conversations_cleaned_2,MANAGED,DELTA,2025-03-12 16:36:36.920,2025-03-12 16:36:36.920,msantacroce@bal.com,
dev,bronze_data_products,conversations_cleaned_wo_html,MANAGED,DELTA,2025-03-12 16:29:52.025,2025-03-13 16:54:51.816,msantacroce@bal.com,
dev,bronze_data_products,conversations_exploded,MANAGED,DELTA,2025-03-04 01:24:34.838,2025-06-20 18:50:54.348,cameron.avelis@bal.com,
dev,bronze_data_products,conversations_fail_output,MANAGED,DELTA,2025-03-28 01:05:01.445,2025-03-28 01:05:02.400,cameron.avelis@bal.com,
dev,bronze_data_products,conversations_filters,MANAGED,DELTA,2025-03-22 00:06:34.843,2025-06-20 19:00:50.535,cameron.avelis@bal.com,
dev,bronze_data_products,conversations_summarized,MANAGED,DELTA,2025-03-04 01:35:06.822,2025-06-20 18:59:53.143,cameron.avelis@bal.com,
dev,bronze_data_products,conversations_summarized_filters,MANAGED,DELTA,2025-03-18 22:14:13.683,2025-03-18 23:18:23.072,cameron.avelis@bal.com,
dev,bronze_data_products,conversations_summarized_parallel,MANAGED,DELTA,2025-03-06 04:17:05.327,2025-03-06 04:17:05.327,cameron.avelis@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v1,MANAGED,DELTA,2025-03-25 21:31:56.331,2025-03-25 21:31:57.236,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v1_output_1,MANAGED,DELTA,2025-03-25 21:54:12.070,2025-03-26 07:00:07.694,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v1_output_2,MANAGED,DELTA,2025-03-26 07:14:50.704,2025-03-26 07:14:51.551,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_ground_truth,MANAGED,DELTA,2025-03-27 16:16:21.331,2025-03-27 16:28:43.300,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_ground_truth_tags,MANAGED,DELTA,2025-03-27 18:15:14.535,2025-03-28 10:28:10.505,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_tagging_experiment_current_prompt,MANAGED,DELTA,2025-06-12 15:57:25.005,2025-06-12 15:57:25.858,aresha@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_tagging_experiment_prompt_v1_model_chatgpt_4o,MANAGED,DELTA,2025-03-28 07:44:43.366,2025-03-28 07:54:42.174,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_tagging_experiment_prompt_v1_model_llama_3_3,MANAGED,DELTA,2025-03-28 07:01:02.828,2025-03-28 07:53:25.546,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_tagging_experiment_prompt_v3_model_chatgpt_4o,MANAGED,DELTA,2025-04-02 17:17:20.469,2025-04-02 17:17:21.237,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_tagging_experiment_prompt_v3_model_llama_3_3,MANAGED,DELTA,2025-03-28 09:00:09.757,2025-03-28 09:00:10.618,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_tagging_experiment_prompt_v5_model_chatgpt_4o,MANAGED,DELTA,2025-04-03 21:41:40.940,2025-04-03 21:41:41.835,rimontgomery@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_tagging_experiment_prompt_v6_model_chatgpt_4o,MANAGED,DELTA,2025-04-03 22:07:35.592,2025-04-03 22:07:36.368,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_tagging_experiment_prompt_v7_model_chatgpt_4o,MANAGED,DELTA,2025-04-04 17:27:27.699,2025-04-04 17:27:28.698,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_sample_set_v2_tagging_experiment_prompt_v7_model_chatgpt_4o_groundtruth_v3,MANAGED,DELTA,2025-04-04 22:27:57.965,2025-04-04 22:27:58.763,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_tagging_ground_truth_sample_set_v2,MANAGED,DELTA,2025-04-02 15:11:06.575,2025-04-02 15:11:14.041,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_tagging_ground_truth_sample_set_v3,MANAGED,DELTA,2025-04-04 22:20:28.716,2025-04-04 22:20:38.459,msantacroce@bal.com,
dev,bronze_data_products,conversations_summarized_tagging_ground_truth_sample_set_v4,MANAGED,DELTA,2025-06-11 23:10:26.445,2025-06-11 23:10:26.986,aresha@bal.com,
dev,bronze_data_products,conversations_summarized_test,MANAGED,DELTA,2025-03-19 04:12:52.992,2025-03-19 04:55:08.607,cameron.avelis@bal.com,
dev,bronze_data_products,conversations_summary_fail,MANAGED,DELTA,2025-03-27 18:29:56.335,2025-03-27 18:29:57.279,cameron.avelis@bal.com,
dev,bronze_data_products,cw_benemap_2xx_requests,MANAGED,DELTA,2026-04-24 20:32:42.720,2026-04-24 20:32:43.472,dwidmark@bal.com,
dev,bronze_data_products,cw_benemap_error_requests,MANAGED,DELTA,2026-04-24 19:33:07.845,2026-04-24 19:33:08.554,dwidmark@bal.com,
dev,bronze_data_products,cw_employees_2xx_payloads,MANAGED,DELTA,2026-04-24 20:30:52.420,2026-04-24 20:30:53.323,dwidmark@bal.com,
dev,bronze_data_products,cw_employees_distinct,MANAGED,DELTA,2026-04-24 20:57:07.143,2026-04-24 20:57:07.882,dwidmark@bal.com,
dev,bronze_data_products,cw_employees_error_payloads,MANAGED,DELTA,2026-04-24 18:56:33.609,2026-04-24 19:12:55.953,dwidmark@bal.com,
dev,bronze_data_products,cw_employees_remediation_report,MANAGED,DELTA,2026-04-24 23:57:12.953,2026-04-25 00:25:00.850,dwidmark@bal.com,
dev,bronze_data_products,cw_post_emails,MANAGED,DELTA,2026-04-21 18:54:58.682,2026-04-21 18:54:59.334,dwidmark@bal.com,
dev,bronze_data_products,cw_projects_2xx_payloads,MANAGED,DELTA,2026-04-24 20:31:06.181,2026-04-24 20:31:07.027,dwidmark@bal.com,
dev,bronze_data_products,cw_projects_distinct,MANAGED,DELTA,2026-04-24 20:58:33.942,2026-04-24 20:58:34.653,dwidmark@bal.com,
dev,bronze_data_products,cw_projects_error_payloads,MANAGED,DELTA,2026-04-24 19:06:59.267,2026-04-24 19:13:51.695,dwidmark@bal.com,
dev,bronze_data_products,cw_put_employees,MANAGED,DELTA,2026-04-21 18:54:52.245,2026-04-21 18:54:53.001,dwidmark@bal.com,
dev,bronze_data_products,dashboard_extraction,MANAGED,DELTA,2026-01-27 21:22:50.736,2026-01-28 00:25:12.669,scharanmangavalli@bal.com,
dev,bronze_data_products,dashboard_misclass,MANAGED,DELTA,2025-03-21 17:14:21.664,2025-06-02 17:38:42.370,scharanmangavalli@bal.com,
dev,bronze_data_products,dashboard_misclass_raw,MANAGED,DELTA,2026-06-30 16:48:11.537,2026-07-20 21:29:56.977,scharanmangavalli@bal.com,
dev,bronze_data_products,dashboard_report,MANAGED,DELTA,2025-03-21 17:14:17.469,2025-11-02 16:16:35.005,scharanmangavalli@bal.com,"The 'dashboard_report' table contains classification performance metrics for various data products. It includes details such as precision, recall, F1-score, and support. This data can be used to evaluate the effectiveness of different data products and their sources. "
dev,bronze_data_products,dbrx_ragchat_payload,MANAGED,DELTA,2025-02-26 21:47:09.734,2026-01-08 19:56:47.982,cameron.avelis@bal.com,
dev,bronze_data_products,dbrx_ragchat_payload_assessment_logs,MANAGED,DELTA,2025-02-26 21:59:36.909,2025-02-26 21:59:36.909,cameron.avelis@bal.com,
dev,bronze_data_products,dbrx_ragchat_payload_assessment_logs_view,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2025-10-30 23:53:33.123,2025-10-30 23:53:33.123,cameron.avelis@bal.com,"Payload assessment logs view for `dev`.`bronze_data_products`.`dbrx_ragchat_payload`. Payload assessment logs for `dev`.`bronze_data_products`.`dbrx_ragchat_payload` will be deprecated soon, you can refer to this view for up to date data or upgrade to MLflow 3 for logging assessments."
dev,bronze_data_products,dbrx_ragchat_payload_request_logs,MANAGED,DELTA,2025-02-26 21:59:28.246,2025-02-26 21:59:28.246,cameron.avelis@bal.com,
dev,bronze_data_products,dbrx_ragchat_payload_request_logs_view,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2025-10-30 23:53:32.467,2025-10-30 23:53:32.467,cameron.avelis@bal.com,"Payload request logs view for `dev`.`bronze_data_products`.`dbrx_ragchat_payload`. Payload request logs for `dev`.`bronze_data_products`.`dbrx_ragchat_payload` will be deprecated soon, you can refer to this view for up to date data or upgrade to MLflow 3 for real-time tracing."
dev,bronze_data_products,denial_classification_take_1,MANAGED,DELTA,2025-05-01 01:22:31.307,2025-05-01 20:38:06.537,dwidmark@bal.com,
dev,bronze_data_products,denial_classification_take_2,MANAGED,DELTA,2025-06-13 18:15:39.423,2025-06-13 18:15:39.423,dwidmark@bal.com,
dev,bronze_data_products,denial_classification_take_3,MANAGED,DELTA,2025-06-13 19:23:10.437,2025-06-13 19:23:10.437,dwidmark@bal.com,
dev,bronze_data_products,denial_pages_raw,MANAGED,DELTA,2025-04-30 23:38:12.968,2025-06-13 20:00:52.244,dwidmark@bal.com,
dev,bronze_data_products,denials_raw,MANAGED,DELTA,2025-04-30 23:43:35.819,2025-06-13 20:00:50.122,dwidmark@bal.com,
dev,bronze_data_products,doc_checklist_data,MANAGED,DELTA,2025-01-10 17:49:54.306,2025-01-10 17:49:54.306,ddcruz@bal.com,
dev,bronze_data_products,doc_checklist_data_new,MANAGED,DELTA,2026-07-09 19:23:41.240,2026-07-20 21:24:38.163,dhrathore@bal.com,
dev,bronze_data_products,docsynth_sample_pages,MANAGED,DELTA,2025-08-12 00:04:22.136,2025-08-12 00:04:22.136,dwidmark@bal.com,
dev,bronze_data_products,docsynth_sample_questionnaires,MANAGED,DELTA,2025-08-12 17:48:42.176,2025-08-12 17:48:42.176,dwidmark@bal.com,
dev,bronze_data_products,docsynth_temp_loaded_view,MANAGED,DELTA,2026-01-21 02:05:30.646,2026-01-28 09:21:09.034,dwidmark@bal.com,
dev,bronze_data_products,docsynth_temp_svg_original,MANAGED,DELTA,2026-01-21 04:07:29.425,2026-01-29 08:49:30.099,dwidmark@bal.com,
dev,bronze_data_products,docsynth_temp_svg_original_filtered,MANAGED,DELTA,2026-01-22 20:58:14.059,2026-01-24 03:04:35.983,dwidmark@bal.com,
dev,bronze_data_products,docsynth_temp_svg_tokenized,MANAGED,DELTA,2026-01-22 20:50:00.908,2026-01-23 00:56:52.210,dwidmark@bal.com,
dev,bronze_data_products,docsynth_template_pages,MANAGED,DELTA,2026-01-15 21:55:27.936,2026-01-15 21:55:27.936,dwidmark@bal.com,
dev,bronze_data_products,dwidmark-23ac-tokens-2025-06-20-09-39-32,MANAGED,DELTA,2025-06-20 16:40:30.077,2025-06-20 16:40:30.747,dwidmark@bal.com,
dev,bronze_data_products,ead_bio_training_from_prod,MANAGED,DELTA,2026-05-14 16:50:52.943,2026-05-14 16:50:52.943,tfitzgibbons@bal.com,
dev,bronze_data_products,ead_eval_results,MANAGED,DELTA,2026-05-14 17:50:40.285,2026-05-14 17:50:40.285,tfitzgibbons@bal.com,
dev,bronze_data_products,ead_training_prepared,MANAGED,DELTA,2026-05-14 16:36:51.810,2026-05-14 16:36:51.810,tfitzgibbons@bal.com,
dev,bronze_data_products,event_log_93a663b6_47d7_40ab_84b6_87b41789f85f,MANAGED,DELTA,2025-10-03 21:31:19.037,2025-10-03 21:31:21.262,dwidmark@bal.com,
dev,bronze_data_products,extraction_metrics,MANAGED,DELTA,2025-01-10 18:39:46.589,2025-01-10 18:39:46.589,ddcruz@bal.com,
dev,bronze_data_products,fileid_to_dbfs_path,MANAGED,DELTA,2025-01-10 17:51:31.364,2026-02-25 20:29:08.834,ddcruz@bal.com,
dev,bronze_data_products,fpv_actionable_findings,MANAGED,DELTA,2026-06-15 16:35:49.757,2026-06-15 16:35:49.757,nan.kishore@bal.com,
dev,bronze_data_products,fpv_az_checks,MANAGED,DELTA,2026-07-28 19:23:02.259,2026-07-28 19:23:02.259,nan.kishore@bal.com,
dev,bronze_data_products,fpv_az_fields,MANAGED,DELTA,2026-07-28 19:01:20.067,2026-07-28 19:01:20.067,nan.kishore@bal.com,
dev,bronze_data_products,fpv_az_pages,MANAGED,DELTA,2026-07-28 16:24:33.798,2026-07-28 16:24:33.798,nan.kishore@bal.com,
dev,bronze_data_products,fpv_az_processing_log,MANAGED,DELTA,2026-07-28 16:24:37.520,2026-07-28 16:24:37.520,nan.kishore@bal.com,
dev,bronze_data_products,fpv_az_upload,MANAGED,DELTA,2026-07-28 16:24:36.005,2026-07-28 16:24:36.005,nan.kishore@bal.com,
dev,bronze_data_products,fpv_check_catalog,MANAGED,DELTA,2026-06-15 02:48:18.146,2026-06-15 02:48:18.146,nan.kishore@bal.com,
dev,bronze_data_products,fpv_check_results,MANAGED,DELTA,2026-07-16 20:45:47.505,2026-07-16 20:45:47.505,tfitzgibbons@bal.com,
dev,bronze_data_products,fpv_checklist_items,MANAGED,DELTA,2026-06-16 02:31:53.564,2026-06-16 02:31:53.564,nan.kishore@bal.com,
dev,bronze_data_products,fpv_checklist_markdown,MANAGED,DELTA,2026-06-16 01:39:01.680,2026-06-16 01:39:02.249,nan.kishore@bal.com,
